date,close
2006-06-15,17917.26953125
2006-06-19,18067.51953125
2006-06-20,18492.169921875
2006-06-21,18892.390625
2006-06-22,18929.08984375
2006-06-23,18788.150390625
2006-06-26,18660.029296875
2006-06-27,18581.0703125
2006-06-28,18553.48046875
2006-06-29,19102.560546875
2006-06-30,19538.3203125
2006-07-03,19665.30078125
2006-07-04,19617.650390625
2006-07-05,19185.400390625
2006-07-06,19503.26953125
2006-07-07,19626.880859375
2006-07-10,19615.33984375
2006-07-11,19519.580078125
2006-07-12,19834.150390625
2006-07-13,19216.849609375
2006-07-14,18946.400390625
2006-07-17,18575.509765625
2006-07-18,18551.0703125
2006-07-19,19105.330078125
2006-07-20,18785.640625
2006-07-21,18440.080078125
2006-07-24,18624.349609375
2006-07-25,18667.619140625
2006-07-26,18792.41015625
2006-07-27,19068.359375
2006-07-28,18977.560546875
2006-07-31,19127.380859375
2006-08-01,18863.4296875
2006-08-02,19027.44921875
2006-08-03,18948.189453125
2006-08-04,19252.0390625
2006-08-07,18925.830078125
2006-08-08,19032.41015625
2006-08-10,18761.69921875
2006-08-11,18906.029296875
2006-08-14,18962.8203125
2006-08-15,19151.419921875
2006-08-16,19276.0703125
2006-08-17,19564.029296875
2006-08-18,19455.76953125
2006-08-21,19921.009765625
2006-08-22,20187.669921875
2006-08-23,19838.390625
2006-08-24,19844.76953125
2006-08-25,19942.05078125
2006-08-28,20113.310546875
2006-08-29,19813.80078125
2006-08-30,20193.109375
2006-08-31,20093.6796875
2006-09-01,20361.94921875
2006-09-04,20639.51953125
2006-09-05,20581.349609375
2006-09-06,20511.8203125
2006-09-07,20023.0703125
2006-09-08,19852.19921875
2006-09-11,19197.76953125
2006-09-12,19398.5703125
2006-09-13,19448.83984375
2006-09-14,19606.220703125
2006-09-15,19527.7109375
2006-09-18,19561.470703125
2006-09-19,19641.189453125
2006-09-20,19749.48046875
2006-09-21,20007.5390625
2006-09-22,20134.630859375
2006-09-26,20280.439453125
2006-09-27,20365.830078125
2006-09-28,20612.970703125
2006-09-29,20495.740234375
2006-10-02,20686.009765625
2006-10-03,20402.259765625
2006-10-04,20492.099609375
2006-10-05,20589.1796875
2006-10-06,20612.080078125
2006-10-09,20879.109375
2006-10-10,20898.529296875
2006-10-11,20771.189453125
2006-10-12,20831.169921875
2006-10-13,20902.380859375
2006-10-16,21193.5703125
2006-10-17,21199.310546875
2006-10-18,21249.970703125
2006-10-19,21306.69921875
2006-10-20,21391.330078125
2006-10-23,21525.91015625
2006-10-24,21572.939453125
2006-10-25,21510.91015625
2006-10-26,21210.650390625
2006-10-27,21052.33984375
2006-10-30,21186.580078125
2006-10-31,21298.5390625
2006-11-01,21541.240234375
2006-11-02,21466.259765625
2006-11-03,21519.759765625
2006-11-06,21884.0390625
2006-11-07,21942.400390625
2006-11-08,21866.890625
2006-11-09,21581.859375
2006-11-10,21706.76953125
2006-11-13,21457.810546875
2006-11-14,21538.44921875
2006-11-15,21520.669921875
2006-11-16,21292.9609375
2006-11-17,21045.109375
2006-11-20,21469.060546875
2006-11-21,21639.970703125
2006-11-22,21721.58984375
2006-11-23,21662.060546875
2006-11-24,21790.80078125
2006-11-27,21607.140625
2006-11-28,21378.560546875
2006-11-29,21495.830078125
2006-11-30,21758.650390625
2006-12-01,21855.80078125
2006-12-04,21861.529296875
2006-12-05,21978.119140625
2006-12-06,21725.189453125
2006-12-07,21635.4609375
2006-12-08,21541.0390625
2006-12-11,21485.5
2006-12-12,21339.919921875
2006-12-13,21493.830078125
2006-12-14,21729.73046875
2006-12-15,21916.44921875
2006-12-18,21878.359375
2006-12-19,21857.109375
2006-12-20,22172.94921875
2006-12-21,22552.810546875
2006-12-22,22334.380859375
2006-12-27,22627.830078125
2006-12-28,22675.26953125
2006-12-29,22607.16015625
2007-01-02,22854.16015625
2007-01-03,22291.140625
2007-01-04,21886.1796875
2007-01-05,21959.599609375
2007-01-08,22111.7890625
2007-01-09,22285.150390625
2007-01-10,22209.400390625
2007-01-11,22327.939453125
2007-01-12,22534.919921875
2007-01-15,22810.94921875
2007-01-16,22747.2109375
2007-01-17,22531.80078125
2007-01-18,22764.919921875
2007-01-19,22443.560546875
2007-01-22,22659.390625
2007-01-23,22623.80078125
2007-01-24,22956.650390625
2007-01-25,23085.2109375
2007-01-26,22872.900390625
2007-01-29,22842.169921875
2007-01-30,22988.849609375
2007-01-31,22941.7109375
2007-02-01,23278.490234375
2007-02-02,23151.109375
2007-02-05,23087.94921875
2007-02-06,23428.5390625
2007-02-07,23420.98046875
2007-02-08,23078.619140625
2007-02-09,23126.619140625
2007-02-12,23282.060546875
2007-02-13,23473.01953125
2007-02-14,23751.880859375
2007-02-15,23962.16015625
2007-02-16,23923.05078125
2007-02-19,24029.73046875
2007-02-20,23914.8203125
2007-02-21,23701.740234375
2007-02-22,24074.189453125
2007-02-23,24156.58984375
2007-02-26,24283.5703125
2007-02-27,23435.33984375
2007-02-28,23176.029296875
2007-03-01,22740.83984375
2007-03-02,22990.689453125
2007-03-05,22416.2109375
2007-03-06,22701.369140625
2007-03-07,22727.83984375
2007-03-08,23031.640625
2007-03-09,23334.009765625
2007-03-12,23406.69921875
2007-03-13,23246.8203125
2007-03-14,22674.279296875
2007-03-15,23071.80078125
2007-03-16,23263.58984375
2007-03-19,23579.0703125
2007-03-20,23747.9609375
2007-03-22,23997.310546875
2007-03-23,24243.259765625
2007-03-26,24089.98046875
2007-03-27,24181.83984375
2007-03-28,24183.98046875
2007-03-29,24491.640625
2007-03-30,24590.19921875
2007-04-02,24726.73046875
2007-04-03,24864.51953125
2007-04-04,24802.69921875
2007-04-05,24826.3203125
2007-04-10,25132.919921875
2007-04-11,24884.9296875
2007-04-12,25067.759765625
2007-04-13,25351.859375
2007-04-16,25562.509765625
2007-04-17,25688.6796875
2007-04-18,25312.23046875
2007-04-19,25261.9296875
2007-04-20,25500.650390625
2007-04-23,25620.1796875
2007-04-24,25260.759765625
2007-04-25,25338.5
2007-04-26,25173.349609375
2007-04-30,25231.650390625
2007-05-02,25378.30078125
2007-05-03,25318.69921875
2007-05-04,25684.5390625
2007-05-07,25832.599609375
2007-05-08,25202.2890625
2007-05-09,25398.189453125
2007-05-10,25483.33984375
2007-05-11,25731.619140625
2007-05-14,25152.51953125
2007-05-15,25144.759765625
2007-05-16,25112.390625
2007-05-17,24933.509765625
2007-05-18,25375.080078125
2007-05-21,25679.51953125
2007-05-22,25642.060546875
2007-05-23,26077.80078125
2007-05-24,25795.400390625
2007-05-25,25536.419921875
2007-05-28,25651.69921875
2007-05-29,25705.400390625
2007-05-30,25502.560546875
2007-05-31,25701.400390625
2007-06-01,26015.0390625
2007-06-04,25934.5703125
2007-06-05,25965.939453125
2007-06-06,25631.23046875
2007-06-07,25649.5390625
2007-06-08,25311.900390625
2007-06-11,25668.900390625
2007-06-12,25436.9609375
2007-06-13,25787.5703125
2007-06-14,26164.3203125
2007-06-15,26508.69921875
2007-06-18,26494.08984375
2007-06-19,26423.5
2007-06-20,26686.109375
2007-06-21,26499.369140625
2007-06-22,26294.830078125
2007-06-25,26139.69921875
2007-06-26,25989.1796875
2007-06-27,25568.75
2007-06-28,25666.189453125
2007-06-29,25564.5703125
2007-07-02,25955.630859375
2007-07-03,25992.109375
2007-07-04,26082.2890625
2007-07-05,26131.5703125
2007-07-06,26448.970703125
2007-07-09,26921.19921875
2007-07-10,26656.19921875
2007-07-11,26883.91015625
2007-07-12,27028.859375
2007-07-13,27202.759765625
2007-07-16,27109.8203125
2007-07-17,26841.2109375
2007-07-18,26644.759765625
2007-07-19,26843.029296875
2007-07-20,26911.51953125
2007-07-23,27101.5
2007-07-24,26806.080078125
2007-07-25,26331.060546875
2007-07-26,25844.390625
2007-07-27,24985.919921875
2007-07-30,25467.529296875
2007-07-31,25846.41015625
2007-08-01,25151.560546875
2007-08-02,25194.830078125
2007-08-03,24915.310546875
2007-08-06,24292.150390625
2007-08-07,24696.9296875
2007-08-08,25561.740234375
2007-08-10,24434.0
2007-08-13,25115.400390625
2007-08-14,24712.41015625
2007-08-15,24471.240234375
2007-08-16,23419.2890625
2007-08-17,23419.0703125
2007-08-20,24072.490234375
2007-08-21,23951.810546875
2007-08-22,24650.7890625
2007-08-23,24856.0
2007-08-24,24795.529296875
2007-08-27,25204.9296875
2007-08-28,24834.9609375
2007-08-29,24964.869140625
2007-08-30,25258.1796875
2007-08-31,25983.130859375
2007-09-03,26171.01953125
2007-09-04,26349.369140625
2007-09-05,26001.33984375
2007-09-06,26169.189453125
2007-09-07,25620.470703125
2007-09-10,25564.76953125
2007-09-11,26170.939453125
2007-09-12,26023.6796875
2007-09-13,26401.099609375
2007-09-14,26236.94921875
2007-09-17,25853.970703125
2007-09-18,26067.009765625
2007-09-19,27116.0390625
2007-09-20,27163.51953125
2007-09-21,27049.609375
2007-09-25,27131.619140625
2007-09-26,27158.439453125
2007-09-27,27257.720703125
2007-09-28,27267.580078125
2007-10-01,27485.880859375
2007-10-02,27722.1796875
2007-10-03,27990.109375
2007-10-04,28146.560546875
2007-10-05,28169.009765625
2007-10-08,28013.41015625
2007-10-09,28168.970703125
2007-10-10,28425.94921875
2007-10-11,28762.619140625
2007-10-12,28475.380859375
2007-10-15,28423.310546875
2007-10-16,28305.30078125
2007-10-17,28321.94921875
2007-10-18,28261.349609375
2007-10-19,27998.0703125
2007-10-22,27389.30078125
2007-10-23,27675.609375
2007-10-24,27244.240234375
2007-10-25,27593.349609375
2007-10-26,27939.609375
2007-10-29,28335.75
2007-10-30,28372.48046875
2007-10-31,28477.05078125
2007-11-01,27954.720703125
2007-11-02,27661.140625
2007-11-05,27446.23046875
2007-11-06,27868.220703125
2007-11-07,27874.41015625
2007-11-08,28209.0390625
2007-11-09,28054.25
2007-11-12,27930.970703125
2007-11-13,27613.099609375
2007-11-14,27825.150390625
2007-11-15,27281.66015625
2007-11-16,26982.470703125
2007-11-19,26352.529296875
2007-11-20,26703.16015625
2007-11-21,26337.48046875
2007-11-22,26347.109375
2007-11-23,26864.05078125
2007-11-26,26710.9609375
2007-11-27,26574.609375
2007-11-28,26716.44921875
2007-11-29,27222.91015625
2007-11-30,27629.349609375
2007-12-03,27623.779296875
2007-12-04,27228.73046875
2007-12-05,27404.94921875
2007-12-06,27421.55078125
2007-12-07,27670.380859375
2007-12-10,27760.7109375
2007-12-11,27735.4609375
2007-12-12,27587.80078125
2007-12-13,26673.640625
2007-12-14,26004.529296875
2007-12-18,25858.9609375
2007-12-19,25461.5390625
2007-12-20,25811.98046875
2007-12-21,26706.849609375
2007-12-24,26868.140625
2007-12-27,27120.75
2007-12-28,26965.119140625
2007-12-31,26250.2890625
2008-01-02,26589.009765625
2008-01-03,26449.6796875
2008-01-04,26311.7890625
2008-01-07,25994.900390625
2008-01-08,26288.650390625
2008-01-09,25769.08984375
2008-01-10,25300.900390625
2008-01-11,24936.869140625
2008-01-14,25432.119140625
2008-01-15,25125.359375
2008-01-16,24464.9609375
2008-01-17,24616.330078125
2008-01-18,24238.9609375
2008-01-21,23085.51953125
2008-01-22,23055.240234375
2008-01-23,22778.150390625
2008-01-24,24104.880859375
2008-01-25,24192.109375
2008-01-28,23431.41015625
2008-01-29,24197.689453125
2008-01-30,24857.23046875
2008-01-31,25117.7890625
2008-02-01,26587.5
2008-02-04,26372.98046875
2008-02-05,25540.5703125
2008-02-06,25673.75
2008-02-07,25567.119140625
2008-02-08,25756.720703125
2008-02-11,25441.33984375
2008-02-12,26404.119140625
2008-02-13,26279.26953125
2008-02-14,26786.640625
2008-02-15,26249.0390625
2008-02-18,26744.830078125
2008-02-19,27292.580078125
2008-02-20,27236.640625
2008-02-21,27945.58984375
2008-02-22,27603.6796875
2008-02-25,27551.66015625
2008-02-26,27993.4296875
2008-02-27,27718.380859375
2008-02-28,27795.869140625
2008-02-29,28347.859375
2008-03-03,28348.419921875
2008-03-04,28642.0390625
2008-03-05,28314.669921875
2008-03-06,28909.4609375
2008-03-07,28580.349609375
2008-03-10,27967.869140625
2008-03-11,28017.150390625
2008-03-12,28509.05078125
2008-03-13,28109.23046875
2008-03-14,28479.51953125
2008-03-17,27831.119140625
2008-03-18,27908.630859375
2008-03-19,27363.51953125
2008-03-20,26254.490234375
2008-03-25,26984.439453125
2008-03-26,27521.400390625
2008-03-27,27935.259765625
2008-03-28,27798.69921875
2008-03-31,27409.990234375
2008-04-01,27459.880859375
2008-04-02,27738.66015625
2008-04-03,27783.689453125
2008-04-04,28204.580078125
2008-04-07,28774.390625
2008-04-08,28635.2109375
2008-04-09,29193.150390625
2008-04-10,29081.119140625
2008-04-11,29011.9609375
2008-04-14,28680.650390625
2008-04-15,29198.80078125
2008-04-16,29782.560546875
2008-04-17,29618.470703125
2008-04-18,29508.83984375
2008-04-21,29681.76953125
2008-04-22,29638.810546875
2008-04-23,29673.740234375
2008-04-24,29140.41015625
2008-04-25,29039.33984375
2008-04-29,28498.400390625
2008-04-30,28675.369140625
2008-05-05,29255.55078125
2008-05-06,29911.859375
2008-05-07,29856.990234375
2008-05-08,30145.830078125
2008-05-09,30127.720703125
2008-05-12,30151.0
2008-05-13,30000.4296875
2008-05-14,30402.990234375
2008-05-15,30665.720703125
2008-05-16,30704.810546875
2008-05-19,31209.529296875
2008-05-20,30986.26953125
2008-05-21,30959.890625
2008-05-22,31315.33984375
2008-05-23,30602.349609375
2008-05-26,30801.380859375
2008-05-27,30536.330078125
2008-05-28,30263.310546875
2008-05-29,29997.259765625
2008-05-30,29939.9609375
2008-06-02,29853.4609375
2008-06-03,29835.4609375
2008-06-04,29640.029296875
2008-06-05,29883.759765625
2008-06-06,29825.349609375
2008-06-09,29657.689453125
2008-06-10,29226.75
2008-06-11,28807.41015625
2008-06-12,29201.9296875
2008-06-13,29233.7890625
2008-06-17,29655.55078125
2008-06-18,29181.650390625
2008-06-19,29546.6796875
2008-06-20,28824.0390625
2008-06-23,28770.240234375
2008-06-24,28534.599609375
2008-06-25,28254.169921875
2008-06-26,28274.439453125
2008-06-27,28692.099609375
2008-06-30,28708.08984375
2008-07-01,28315.2890625
2008-07-02,27600.669921875
2008-07-03,26730.66015625
2008-07-04,26519.150390625
2008-07-07,26554.7109375
2008-07-08,25995.5
2008-07-09,26392.869140625
2008-07-10,26033.01953125
2008-07-11,26074.779296875
2008-07-14,26049.69921875
2008-07-15,25405.25
2008-07-16,25151.19921875
2008-07-17,26213.94921875
2008-07-18,25765.640625
2008-07-21,25874.720703125
2008-07-22,25416.330078125
2008-07-23,25502.810546875
2008-07-24,25542.060546875
2008-07-25,25099.2890625
2008-07-28,25453.400390625
2008-07-29,25287.779296875
2008-07-30,25874.640625
2008-07-31,25779.2109375
2008-08-01,24565.630859375
2008-08-04,23951.75
2008-08-05,24489.939453125
2008-08-06,25020.849609375
2008-08-07,24705.7109375
2008-08-08,24799.740234375
2008-08-11,24935.94921875
2008-08-12,24872.6796875
2008-08-13,25009.48046875
2008-08-14,25812.44921875
2008-08-15,25188.4296875
2008-08-18,24719.669921875
2008-08-19,24203.029296875
2008-08-20,24761.279296875
2008-08-21,25043.91015625
2008-08-22,25131.650390625
2008-08-25,24651.140625
2008-08-26,24975.4296875
2008-08-27,25370.26953125
2008-08-28,25921.740234375
2008-08-29,25556.75
2008-09-01,24704.5
2008-09-02,24566.55078125
2008-09-03,24320.650390625
2008-09-04,23978.900390625
2008-09-05,23185.310546875
2008-09-08,24008.259765625
2008-09-09,23052.08984375
2008-09-10,23004.7109375
2008-09-11,23338.0
2008-09-12,23957.740234375
2008-09-15,23467.130859375
2008-09-16,22831.30078125
2008-09-17,22159.94921875
2008-09-18,21953.33984375
2008-09-19,23259.2109375
2008-09-22,23738.83984375
2008-09-23,22794.140625
2008-09-25,22827.5703125
2008-09-26,22376.83984375
2008-09-29,21007.7109375
2008-09-30,21746.970703125
2008-10-01,21197.759765625
2008-10-02,20403.310546875
2008-10-03,20523.640625
2008-10-06,18953.400390625
2008-10-07,19495.30078125
2008-10-08,18958.880859375
2008-10-09,19242.970703125
2008-10-10,18641.169921875
2008-10-13,19474.26953125
2008-10-14,20099.7890625
2008-10-15,18584.009765625
2008-10-16,18191.58984375
2008-10-17,18299.689453125
2008-10-20,18882.169921875
2008-10-21,19423.859375
2008-10-22,18452.1796875
2008-10-23,17816.75
2008-10-24,16723.7890625
2008-10-27,16670.05078125
2008-10-28,16799.029296875
2008-10-29,17999.689453125
2008-10-30,18995.359375
2008-10-31,19080.130859375
2008-11-03,19201.279296875
2008-11-04,19694.66015625
2008-11-05,19000.9296875
2008-11-06,18189.08984375
2008-11-07,18122.369140625
2008-11-10,19152.44921875
2008-11-11,18190.4296875
2008-11-12,17754.2109375
2008-11-13,17179.83984375
2008-11-14,17492.69921875
2008-11-17,16960.76953125
2008-11-18,16832.939453125
2008-11-19,16836.05078125
2008-11-20,15905.0595703125
2008-11-21,16172.169921875
2008-11-24,17104.810546875
2008-11-25,18390.6796875
2008-11-26,18607.990234375
2008-11-27,19459.58984375
2008-11-28,19346.279296875
2008-12-01,18334.3203125
2008-12-02,17802.869140625
2008-12-03,17183.380859375
2008-12-04,17874.25
2008-12-05,17329.9609375
2008-12-08,18718.380859375
2008-12-09,18983.55078125
2008-12-10,19986.66015625
2008-12-11,19778.759765625
2008-12-12,19415.169921875
2008-12-15,19879.830078125
2008-12-17,20468.470703125
2008-12-18,20050.619140625
2008-12-19,19283.439453125
2008-12-22,19050.560546875
2008-12-23,19201.2109375
2008-12-24,18936.0703125
2008-12-29,19158.599609375
2008-12-30,19274.30078125
2008-12-31,19444.400390625
2009-01-02,19683.939453125
