market,group,model,alpha,n,breaches,breach_rate,expected,mean_VaR,kupiec_p,christ_ind_p,cc_p,es_p,verdict
Nikkei,developed,gaussian,0.05,4388,209,0.0476,0.05,-0.02339,0.4679,0.0,0.0001,0.0,coverage OK  | independence BAD | conditional BAD
Nikkei,developed,historical,0.05,4388,232,0.0529,0.05,-0.02223,0.387,0.0015,0.0045,0.0974,coverage OK  | independence BAD | conditional BAD
Nikkei,developed,hmm_regime,0.05,4388,185,0.0422,0.05,-0.02472,0.0144,0.0001,0.0,0.0735,coverage BAD | independence BAD | conditional BAD
Nikkei,developed,student_t,0.05,4388,251,0.0572,0.05,-0.02123,0.0322,0.0003,0.0001,0.0562,coverage BAD | independence BAD | conditional BAD
Nifty50,emerging,fhs_garch,0.01,4095,54,0.0132,0.01,-0.02439,0.0507,0.7444,0.1405,0.1399,coverage OK  | independence OK  | conditional OK 
Nifty50,emerging,gaussian,0.01,4095,55,0.0134,0.01,-0.02584,0.036,0.0001,0.0,0.0024,coverage BAD | independence BAD | conditional BAD
Nifty50,emerging,historical,0.01,4095,43,0.0105,0.01,-0.0287,0.7495,0.0009,0.004,0.234,coverage OK  | independence BAD | conditional BAD
Nifty50,emerging,hmm_regime,0.01,4095,29,0.0071,0.01,-0.02964,0.0477,0.203,0.0626,0.4132,coverage BAD | independence OK  | conditional OK 
Nifty50,emerging,student_t,0.01,4095,39,0.0095,0.01,-0.02895,0.7575,0.0572,0.1563,0.0458,coverage OK  | independence OK  | conditional OK 
Nifty50,emerging,fhs_garch,0.05,4095,226,0.0552,0.05,-0.01559,0.1337,0.3093,0.1937,0.212,coverage OK  | independence OK  | conditional OK 
Nifty50,emerging,gaussian,0.05,4095,172,0.042,0.05,-0.01812,0.0159,0.0076,0.0015,0.0004,coverage BAD | independence BAD | conditional BAD
Nifty50,emerging,historical,0.05,4095,192,0.0469,0.05,-0.0171,0.3558,0.005,0.0128,0.3401,coverage OK  | independence BAD | conditional BAD
Nifty50,emerging,hmm_regime,0.05,4095,129,0.0315,0.05,-0.01954,0.0,0.1703,0.0,0.3306,coverage BAD | independence OK  | conditional BAD
Nifty50,emerging,student_t,0.05,4095,209,0.051,0.05,-0.0166,0.7613,0.0012,0.0049,0.3106,coverage OK  | independence BAD | conditional BAD
Sensex,emerging,fhs_garch,0.01,4411,56,0.0127,0.01,-0.02745,0.0841,0.7434,0.2133,0.1437,coverage OK  | independence OK  | conditional OK 
Sensex,emerging,gaussian,0.01,4411,65,0.0147,0.01,-0.02772,0.0031,0.0004,0.0,0.0006,coverage BAD | independence BAD | conditional BAD
Sensex,emerging,historical,0.01,4411,50,0.0113,0.01,-0.03077,0.3828,0.0023,0.0067,0.1661,coverage OK  | independence BAD | conditional BAD
Sensex,emerging,hmm_regime,0.01,4411,34,0.0077,0.01,-0.03199,0.1109,0.2665,0.1514,0.0853,coverage OK  | independence OK  | conditional OK 
Sensex,emerging,student_t,0.01,4411,44,0.01,0.01,-0.03132,0.9867,0.0008,0.0038,0.1737,coverage OK  | independence BAD | conditional BAD
Sensex,emerging,fhs_garch,0.05,4411,238,0.054,0.05,-0.01762,0.2337,0.7365,0.465,0.1781,coverage OK  | independence OK  | conditional OK 
Sensex,emerging,gaussian,0.05,4411,197,0.0447,0.05,-0.01946,0.0978,0.0001,0.0001,0.0002,coverage OK  | independence BAD | conditional BAD
