market,group,alpha,model_a,model_b,loss_a,loss_b,dm_stat,p,winner
FTSE100,developed,0.01,fhs_garch,hmm_regime,0.000347,0.00042,-3.842,0.0001,fhs_garch
Nikkei,developed,0.05,gaussian,historical,0.001787,0.001779,1.145,0.2524,tie
Nikkei,developed,0.05,gaussian,student_t,0.001787,0.001787,0.0,0.9998,tie
Nikkei,developed,0.05,gaussian,fhs_garch,0.001787,0.001613,4.627,0.0,fhs_garch
Nikkei,developed,0.05,gaussian,hmm_regime,0.001787,0.001734,1.832,0.067,tie
Nikkei,developed,0.05,historical,student_t,0.001779,0.001787,-1.283,0.1996,tie
Nikkei,developed,0.05,historical,fhs_garch,0.001779,0.001613,4.177,0.0,fhs_garch
Nikkei,developed,0.05,historical,hmm_regime,0.001779,0.001734,1.415,0.1573,tie
Nikkei,developed,0.05,student_t,fhs_garch,0.001787,0.001613,4.18,0.0,fhs_garch
Nikkei,developed,0.05,student_t,hmm_regime,0.001787,0.001734,1.617,0.106,tie
Nikkei,developed,0.05,fhs_garch,hmm_regime,0.001613,0.001734,-5.489,0.0,fhs_garch
Nikkei,developed,0.01,gaussian,historical,0.000641,0.000619,1.923,0.0546,tie
Nikkei,developed,0.01,gaussian,student_t,0.000641,0.000625,1.928,0.054,tie
Nikkei,developed,0.01,gaussian,fhs_garch,0.000641,0.000489,4.454,0.0,fhs_garch
Nikkei,developed,0.01,gaussian,hmm_regime,0.000641,0.000568,2.796,0.0052,hmm_regime
Nikkei,developed,0.01,historical,student_t,0.000619,0.000625,-1.098,0.272,tie
Nikkei,developed,0.01,historical,fhs_garch,0.000619,0.000489,4.696,0.0,fhs_garch
Nikkei,developed,0.01,historical,hmm_regime,0.000619,0.000568,2.476,0.0133,hmm_regime
Nikkei,developed,0.01,student_t,fhs_garch,0.000625,0.000489,4.62,0.0,fhs_garch
Nikkei,developed,0.01,student_t,hmm_regime,0.000625,0.000568,2.594,0.0095,hmm_regime
Nikkei,developed,0.01,fhs_garch,hmm_regime,0.000489,0.000568,-4.28,0.0,fhs_garch
Nifty50,emerging,0.05,gaussian,historical,0.00125,0.00124,1.565,0.1177,tie
Nifty50,emerging,0.05,gaussian,student_t,0.00125,0.001235,2.194,0.0283,student_t
Nifty50,emerging,0.05,gaussian,fhs_garch,0.00125,0.001132,4.677,0.0,fhs_garch
Nifty50,emerging,0.05,gaussian,hmm_regime,0.00125,0.001217,1.224,0.221,tie
Nifty50,emerging,0.05,historical,student_t,0.00124,0.001235,1.958,0.0503,tie
Nifty50,emerging,0.05,historical,fhs_garch,0.00124,0.001132,4.014,0.0001,fhs_garch
Nifty50,emerging,0.05,historical,hmm_regime,0.00124,0.001217,0.815,0.4149,tie
Nifty50,emerging,0.05,student_t,fhs_garch,0.001235,0.001132,3.866,0.0001,fhs_garch
Nifty50,emerging,0.05,student_t,hmm_regime,0.001235,0.001217,0.624,0.533,tie
Nifty50,emerging,0.05,fhs_garch,hmm_regime,0.001132,0.001217,-5.673,0.0,fhs_garch
Nifty50,emerging,0.01,gaussian,historical,0.000418,0.00043,-2.289,0.0221,gaussian
Nifty50,emerging,0.01,gaussian,student_t,0.000418,0.000427,-2.856,0.0043,gaussian
Nifty50,emerging,0.01,gaussian,fhs_garch,0.000418,0.000333,2.743,0.0061,fhs_garch
Nifty50,emerging,0.01,gaussian,hmm_regime,0.000418,0.000378,1.315,0.1886,tie
Nifty50,emerging,0.01,historical,student_t,0.00043,0.000427,0.544,0.5864,tie
Nifty50,emerging,0.01,historical,fhs_garch,0.00043,0.000333,3.215,0.0013,fhs_garch
Nifty50,emerging,0.01,historical,hmm_regime,0.00043,0.000378,1.748,0.0805,tie
Nifty50,emerging,0.01,student_t,fhs_garch,0.000427,0.000333,3.158,0.0016,fhs_garch
Nifty50,emerging,0.01,student_t,hmm_regime,0.000427,0.000378,1.695,0.0901,tie
Nifty50,emerging,0.01,fhs_garch,hmm_regime,0.000333,0.000378,-3.975,0.0001,fhs_garch
Sensex,emerging,0.05,gaussian,historical,0.001389,0.001362,3.776,0.0002,historical
Sensex,emerging,0.05,gaussian,student_t,0.001389,0.001383,0.85,0.3952,tie
Sensex,emerging,0.05,gaussian,fhs_garch,0.001389,0.00124,4.978,0.0,fhs_garch
Sensex,emerging,0.05,gaussian,hmm_regime,0.001389,0.001345,1.899,0.0576,tie
Sensex,emerging,0.05,historical,student_t,0.001362,0.001383,-3.284,0.001,historical
Sensex,emerging,0.05,historical,fhs_garch,0.001362,0.00124,4.038,0.0001,fhs_garch
Sensex,emerging,0.05,historical,hmm_regime,0.001362,0.001345,0.713,0.4756,tie
Sensex,emerging,0.05,student_t,fhs_garch,0.001383,0.00124,4.432,0.0,fhs_garch
